Title,Artist,ConstituentID,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Duration (sec.),ArtistBio,Nationality,Gender,BeginDate,EndDate,Area (cm^2),Aspect,OilPainting,YearCreated,AspectString
60,Execution (First Version),Balcomb Greene,2321.0,1948,Oil on canvas,"39 7/8 x 29 7/8"" (101.3 x 75.9 cm)",Katharine Cornell Fund,6.1950,Painting,Painting & Sculpture,1950-01-06,Y,78370,,,,101.3,,,75.9,,"American, 1904–1990",American,male,1904.0,1990.0,7688.67,0.7492596248766042,Y,1948,Portrait
61,L'Estaque,André Derain,1500.0,1906,Oil on canvas,"13 7/8 x 17 3/4"" (35.3 x 45.1 cm)",Acquired through the Lillie P. Bliss Bequest (by exchange),6.1951,Painting,Painting & Sculpture,1951-01-30,Y,78371,,,,35.3,,,45.1,,"French, 1880–1954",French,male,1880.0,1954.0,1592.03,1.2776203966005668,Y,1906,Landscape
62,"Blast, I",Adolph Gottlieb,2268.0,1957,Oil on canvas,"7' 6"" x 45 1/8"" (228.7 x 114.4 cm)",Philip Johnson Fund,6.1958,Painting,Painting & Sculpture,1958-02-19,Y,78373,,,,228.7,,,114.4,,"American, 1903–1974",American,male,1903.0,1974.0,26163.28,0.5002186270223,Y,1957,Portrait
63,First Theme,Burgoyne Diller,1546.0,1942,Oli on canvas,"42 x 42"" (106.6 x 106.6 cm)",Gift of Silvia Pizitz,6.1959,Painting,Painting & Sculpture,1958-10-29,Y,78374,,,,106.6,,,106.6,,"American, 1906–1965",American,male,1906.0,1965.0,11363.56,1.0,N,1942,Square
64,Shinnecock Canal,Grace Hartigan,2520.0,1957,Oil on canvas,"7' 6 1/2"" x 6' 4"" (229.8 x 193 cm)",Gift of James Thrall Soby,6.1960,Painting,Painting & Sculpture,1960-02-10,Y,78375,,,,229.8,,,193.0,,"American, 1922–2008",American,female,1922.0,2008.0,44351.4,0.8398607484769364,Y,1957,Portrait
65,Shimmering Substance,Jackson Pollock,4675.0,1946,Oil on canvas,"30 1/8 x 24 1/4"" (76.3 x 61.6 cm)",Mr. and Mrs. Albert Lewin and Mrs. Sam A. Lewisohn Funds,6.1968,Painting,Painting & Sculpture,1968-01-10,Y,78376,,,,76.3,,,61.6,,"American, 1912–1956",American,male,1912.0,1956.0,4700.08,0.8073394495412844,Y,1946,Portrait
66,Pettys Bright,Larry Zox,6586.0,1968,Synthetic polymer paint on canvas,"6' 6"" x 11' 11 3/4"" (198.1 x 364.6 cm)",Gift of Charles and Anita Blatt,6.1969,Painting,Painting & Sculpture,1969-01-07,Y,78377,,,,198.1,,,364.6,,"American, 1936–2006",American,male,1936.0,2006.0,72227.26000000001,1.8404846037354874,N,1968,Landscape
67,The Bride,Hyman Bloom,609.0,1941,Oil on canvas,"20 1/8 x 49 7/8"" (51.1 x 126.7 cm)",Purchase,7.1942,Painting,Painting & Sculpture,1942-01-27,Y,78379,,,,51.1,,,126.7,,"American, born Latvia. 1913–2009",American,male,1913.0,2009.0,6474.37,2.4794520547945207,Y,1941,Landscape
68,Still Life,Henri Matisse,3832.0,"Paris, early 1899",Oil on canvas,"18 1/8 x 15"" (46 x 38.1 cm)",Gift of A. Conger Goodyear,7.1949,Painting,Painting & Sculpture,1949-02-03,Y,78380,,,,46.0,,,38.1,,"French, 1869–1954",French,male,1869.0,1954.0,1752.6000000000001,0.8282608695652174,Y,1899,Portrait
69,Rainbow Rampage,Lee Gatch,2092.0,1950,Oil on canvas,"28 x 40"" (71.1 x 101.6 cm)",Gift of Mr. and Mrs. Roy R. Neuberger,7.1951,Painting,Painting & Sculpture,1951-01-30,Y,78381,,,,71.1,,,101.6,,"American, 1902–1968",American,male,1902.0,1968.0,7223.759999999999,1.428973277074543,Y,1950,Landscape
